Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
GR8R  -120.415734    36.399015   -20.607000     0.601000     1.389000     0.258000     0.310000     1.137000
GVRS  -118.112899    34.047448   -37.765000    13.739000    -1.256000     0.096000     0.113000     0.382000
HAR7  -117.299214    35.011541   -19.275000     1.866000    -4.463000     0.410000     0.463000     1.449000
HARV  -120.682072    34.469404   -42.931000    24.098000    -3.715000     0.097000     0.115000     0.395000
HBCO  -118.285800    33.783648   -37.536000    18.682000    -0.625000     0.195000     0.232000     0.830000
HCMN  -116.430078    34.754773   -18.552000    -5.317000    -0.287000     0.095000     0.113000     0.377000
HCRO  -121.469902    40.815917   -19.030000    -6.154000     1.730000     0.110000     0.141000     0.430000
HELB  -119.022968    36.678842   -21.523000    -1.884000     1.722000     0.676000     0.776000     2.983000
HELL  -116.979205    36.723646   -15.918000    -7.703000    -0.043000     0.393000     0.472000     1.602000
HIVI  -117.799457    34.759920   -23.228000     4.786000    -0.992000     0.129000     0.145000     0.556000
HMTG  -117.001505    33.708097   -33.586000    12.825000    -2.056000     0.303000     0.351000     1.171000
HNPS  -115.635338    33.705005   -16.836000    -7.278000    -0.783000     0.084000     0.101000     0.388000
HOGS  -120.479501    35.866717   -35.495000    18.800000     1.240000     0.125000     0.157000     0.553000
HOL3  -117.845131    34.458156   -29.237000     7.906000     0.677000     0.046000     0.055000     0.183000
HOLC  -117.845166    34.458187   -30.365000     7.890000     0.002000     0.271000     0.311000     1.131000
HOLP  -118.168176    33.924542   -38.519000    15.601000    -3.516000     0.183000     0.212000     0.738000
HOPB  -123.074732    38.995186   -30.637000     9.871000    -0.395000     0.125000     0.154000     0.495000
HOTK  -118.821253    37.658588   -14.684000    -3.510000     5.006000     0.304000     0.379000     1.251000
HUNT  -120.402386    35.880812   -26.346000     7.956000     2.689000     0.122000     0.147000     0.513000
HURR  -113.574733    37.063871   -14.600000    -8.071000    -0.791000     0.234000     0.290000     0.943000
HVYS  -119.187546    34.441232   -39.401000    13.741000    -0.160000     0.098000     0.118000     0.410000
HW62  -114.844705    34.064957   -14.519000    -9.600000     0.341000     0.208000     0.249000     0.837000
I40A  -115.911451    34.727324   -15.254000    -8.682000    -0.107000     0.094000     0.111000     0.385000
IBEX  -116.367837    35.848383   -15.381000    -8.027000    -0.123000     0.307000     0.367000     1.242000
IDOG  -116.221516    33.796798   -22.887000     1.763000    -0.719000     0.122000     0.140000     0.484000
IID2  -115.031804    32.706168   -14.025000    -6.978000    -3.283000     0.144000     0.165000     0.594000
IMPS  -115.145102    34.157562   -14.846000    -8.426000    -0.928000     0.075000     0.088000     0.296000
ISLK  -118.474304    35.662271   -21.612000     0.156000     2.524000     0.143000     0.174000     0.634000
IVCO  -115.506793    32.829383   -24.886000    10.573000    -1.619000     0.418000     0.460000     1.744000
JLN5  -120.832906    35.873176   -37.774000    23.144000     0.241000     0.257000     0.311000     1.021000
JNHG  -117.955441    34.449065   -30.636000     9.280000    -0.272000     0.182000     0.224000     0.733000
JNPR  -119.084740    37.771744   -22.824000    -0.787000    -0.862000     0.469000     0.573000     2.072000
JOHN  -116.099043    36.458814   -15.128000    -8.552000     0.373000     0.191000     0.231000     0.816000
JPLM  -118.173232    34.204822   -36.862000    12.731000    -0.926000     0.086000     0.097000     0.376000
JPLV  -118.174303    34.201583   -37.235000    12.424000    -0.595000     0.223000     0.274000     0.964000
JRSC  -122.227401    37.406249   -34.438000    17.531000    -0.141000     0.165000     0.198000     0.642000
KAYO  -113.460926    35.195261   -14.242000    -7.972000    -0.417000     0.233000     0.281000     0.920000
KBRC  -119.008203    34.398529   -38.197000    13.358000    -1.364000     0.142000     0.170000     0.595000
KNOL  -118.979177    37.659117   -21.933000    -2.819000     1.074000     0.281000     0.344000     1.145000
KRAC  -118.880475    37.713310   -16.404000     1.188000     8.928000     0.293000     0.346000     1.323000
KYVW  -116.173398    33.925369   -19.364000    -1.420000     0.579000     0.125000     0.144000     0.499000
LACR  -115.703742    40.850804   -16.819000    -9.631000    -0.141000     0.068000     0.087000     0.272000
LAND  -120.473289    35.899793   -34.428000    18.290000     2.387000     0.112000     0.135000     0.449000
LAPC  -118.574656    34.181924   -38.204000    17.326000     1.399000     0.118000     0.134000     0.502000
LASC  -118.306510    33.927944   -38.367000    16.816000    -0.986000     0.289000     0.337000     1.195000
LBC1  -118.137188    33.832072   -38.302000    17.242000    -4.945000     0.219000     0.237000     0.977000
LBC2  -118.173247    33.791611   -37.235000    18.516000     2.584000     0.262000     0.300000     1.100000
LBCH  -118.203349    33.787772   -39.150000    17.976000     2.377000     0.273000     0.309000     1.197000
LDES  -116.432806    34.267340   -18.137000     0.117000     1.180000     0.156000     0.185000     0.619000
LDSW  -116.209144    34.699426   -16.135000    -7.943000     1.514000     0.155000     0.188000     0.664000
LEBC  -118.871947    34.825179   -31.205000     7.119000     1.711000     0.412000     0.509000     1.758000
LEEP  -118.321760    34.134603   -37.994000    14.357000    -0.355000     0.137000     0.160000     0.560000
LEWI  -116.861875    40.403511   -15.503000   -10.701000    -0.146000     0.067000     0.080000     0.296000
LFRS  -118.412830    34.095072   -38.309000    15.174000     1.079000     0.114000     0.133000     0.495000
LGWD  -117.764454    33.640597   -38.199000    17.333000    -0.396000     0.185000     0.218000     0.758000
LICE  -116.401270    36.856627   -15.520000    -8.744000    -0.650000     0.240000     0.293000     0.951000
LINC  -119.017291    37.637193   -21.519000    -1.283000    -0.413000     0.288000     0.350000     1.158000
LINJ  -118.139204    34.662023   -26.367000     7.413000    -3.001000     0.151000     0.181000     0.607000
LITT  -116.308241    36.745872   -15.284000    -8.645000     0.111000     0.199000     0.238000     0.837000
LJRN  -118.867745    34.807524   -30.868000     7.770000    -0.175000     0.113000     0.140000     0.489000
LL01  -117.834959    34.485459   -28.438000     7.792000     0.839000     0.142000     0.170000     0.570000
LLAS  -117.837935    34.585976   -25.759000     6.074000    -0.587000     0.126000     0.150000     0.507000
LMHG  -117.391287    33.744201   -35.324000    14.627000    -1.462000     0.277000     0.311000     1.211000
LMRR  -119.813284    39.538493   -19.652000    -5.709000     2.577000     0.360000     0.471000     1.560000
LMSG  -117.445074    33.817400   -34.933000    14.472000    -1.475000     0.360000     0.408000     1.356000
LNC1  -121.350238    38.846511   -22.493000    -4.216000    -1.977000     0.214000     0.271000     0.901000
LNC2  -121.350553    38.846508   -22.471000    -3.981000    -0.594000     0.183000     0.232000     0.765000
LNCO  -119.057908    36.359957   -21.602000    -0.723000     2.223000     0.216000     0.261000     0.899000
LNMT  -116.939655    35.090202   -18.519000    -1.629000    -0.807000     0.107000     0.128000     0.429000
LONG  -118.003415    34.111901   -37.211000    12.508000    -2.104000     0.181000     0.209000     0.931000
LORS  -117.754075    34.133328   -35.027000    11.991000     0.192000     0.136000     0.161000     0.556000
LOWS  -120.594290    35.828712   -37.213000    20.803000     0.796000     0.097000     0.120000     0.403000
LPCG  -117.546367    34.314864   -29.195000     6.637000     2.197000     0.148000     0.178000     0.640000
LPHS  -117.956725    34.026771   -37.896000    14.246000    -1.177000     0.188000     0.224000     0.846000
LRA1  -122.243895    37.874560   -34.844000    -6.699000    10.801000     0.264000     0.351000     1.492000
LRA3  -122.243669    37.875404   -31.783000     3.335000     1.203000     0.566000     0.693000     3.101000
LRRG  -118.029991    34.527060   -29.310000     7.690000    -0.305000     0.221000     0.267000     0.949000
LUTZ  -121.865231    37.286853   -31.564000    12.868000    -1.882000     0.091000     0.116000     0.380000
LVMS  -119.103691    34.733607   -35.256000    10.595000     1.442000     0.152000     0.186000     0.637000
LVWD  -115.191348    36.159455   -14.821000    -9.838000    -0.962000     0.375000     0.440000     1.519000
MASW  -120.443064    35.832599   -35.228000    18.042000     0.751000     0.116000     0.142000     0.470000
MAT2  -117.436703    33.856762   -34.680000    14.228000     0.567000     0.100000     0.117000     0.398000
MATH  -117.436820    33.856688   -34.959000    14.054000    -0.804000     0.458000     0.503000     2.084000
MEE1  -120.758605    36.186903   -21.987000     0.529000     1.581000     0.137000     0.166000     0.569000
MEE2  -120.766851    36.180526   -40.206000    21.307000     2.445000     0.177000     0.217000     0.731000
MERC  -115.979018    36.632511   -15.098000    -8.868000    -0.693000     0.089000     0.108000     0.371000
MHCB  -121.642582    37.341533   -23.373000     0.415000     0.879000     0.090000     0.114000     0.372000
MHDL  -122.494338    37.842324   -32.372000    15.505000    -3.038000     0.144000     0.178000     0.649000
MHMS  -118.244137    33.939056   -36.878000    16.421000    -3.134000     0.134000     0.174000     0.615000
MIDA  -120.458833    35.921913   -24.622000     7.884000     1.799000     0.185000     0.196000     0.836000
MIG1  -120.351397    34.038261   -42.237000    24.687000    -0.478000     0.040000     0.047000     0.162000
MILP  -121.834084    37.449041   -28.352000     6.468000    -0.361000     0.181000     0.218000     0.707000
MINE  -116.095515    40.148365   -16.332000    -9.646000    -0.467000     0.075000     0.097000     0.307000
MINS  -119.060903    37.653763   -21.482000    -2.523000    -0.017000     0.181000     0.224000     0.755000
MJPK  -117.550475    33.714483   -36.703000    16.045000    -1.202000     0.108000     0.128000     0.431000
MLFP  -117.317963    33.918405   -33.718000    13.640000     0.377000     0.130000     0.153000     0.521000
MNMC  -120.434055    35.969472   -23.459000     5.695000     1.466000     0.135000     0.157000     0.534000
MNRC  -122.442803    38.878727   -22.470000     1.424000    -2.127000     0.127000     0.161000     0.542000
MOIL  -115.412116    40.710682   -16.761000    -9.664000    -0.034000     0.068000     0.090000     0.284000
MOLA  -122.419929    37.946577   -29.977000    11.708000     1.614000     0.381000     0.451000     1.774000
MONB  -121.866869    37.485326   -27.371000     5.311000    -0.560000     0.171000     0.211000     0.678000
MONI  -116.715574    39.147708   -16.120000    -9.333000    -0.222000     0.195000     0.241000     0.827000
MONP  -116.422355    32.891942   -38.976000    16.249000    -1.351000     0.154000     0.174000     0.620000
MPWD  -118.878022    34.295513   -39.420000    18.415000    -0.285000     0.025000     0.029000     0.107000
MRDM  -117.881692    34.175231   -35.718000    11.305000     0.106000     0.103000     0.114000     0.409000
MSCG  -116.647962    34.038502   -23.268000     5.058000    -0.483000     0.132000     0.159000     0.560000
MSHP  -121.924894    37.556323   -27.503000     6.291000    -0.071000     0.205000     0.261000     0.943000
MSOB  -117.210129    34.230845   -26.907000     6.083000     2.302000     0.143000     0.154000     0.622000
MTA1  -118.245507    34.055220   -38.993000    13.935000    -2.897000     0.190000     0.195000     0.827000
MTGG  -116.647230    33.199164   -39.880000    16.854000    -1.229000     0.374000     0.424000     1.413000
MULN  -120.091613    36.565084   -20.226000     0.042000   -57.159000     0.478000     0.578000     1.858000
MUSB  -119.309354    37.169941   -21.794000    -1.788000     2.382000     0.103000     0.122000     0.438000
MUSD  -119.096057    34.261606   -41.323000    20.146000     2.163000     0.337000     0.388000     1.425000
